"","animal","ID","lac12","lac_wk.","yearwk","yearmo","DIM","ch4clean","dfpcm","Sire","Dam"
"156","PL005227672443","PL005227672443",1,17,"2016--27","2016--07",122,362.963271700163,27.18824,"FR4460978633","PL005291248247"
"157","PL005227672443","PL005227672443",1,22,"2016--32","2016--08",154,354.407969508768,25.97868,"FR4460978633","PL005291248247"
"158","PL005227672443","PL005227672443",1,13,"2016--23","2016--06",92,351.561940214126,28.203867,"FR4460978633","PL005291248247"
"159","PL005227672443","PL005227672443",1,18,"2016--28","2016--07",126,378.523813040452,28.261614,"FR4460978633","PL005291248247"
"160","PL005227672450","PL005227672450",1,19,"2016--24","2016--06",133,434.755842517577,33.401344,"FR2253772132","PL005256749093"
"161","PL005227672450","PL005227672450",1,20,"2016--26","2016--06",145,512.551293690397,31.88262,"FR2253772132","PL005256749093"
"162","PL005227672450","PL005227672450",1,18,"2016--24","2016--06",130,451.25036032947,32.441094,"FR2253772132","PL005256749093"
"163","PL005227672450","PL005227672450",1,23,"2016--29","2016--07",167,393.821526131107,31.681332,"FR2253772132","PL005256749093"
"164","PL005227672450","PL005227672450",1,18,"2016--24","2016--06",132,454.651392501666,32.230228,"FR2253772132","PL005256749093"
"165","PL005227672450","PL005227672450",1,18,"2016--24","2016--06",131,466.057198671286,32.830203,"FR2253772132","PL005256749093"
"166","PL005227672450","PL005227672450",1,23,"2016--28","2016--07",162,433.880836503317,31.446807,"FR2253772132","PL005256749093"
"167","PL005227672450","PL005227672450",1,21,"2016--26","2016--07",148,446.372567417572,31.025621,"FR2253772132","PL005256749093"
"168","PL005227672450","PL005227672450",1,20,"2016--26","2016--06",144,441.520077212526,32.694055,"FR2253772132","PL005256749093"
"169","PL005227672450","PL005227672450",1,20,"2016--25","2016--06",141,400.573144200815,29.798699,"FR2253772132","PL005256749093"
"170","PL005227672450","PL005227672450",1,19,"2016--24","2016--06",134,426.313062942342,33.262496,"FR2253772132","PL005256749093"
"171","PL005227672450","PL005227672450",1,23,"2016--29","2016--07",166,377.130009489473,32.22195,"FR2253772132","PL005256749093"
"172","PL005227672450","PL005227672450",1,17,"2016--23","2016--06",124,464.908044345381,32.586715,"FR2253772132","PL005256749093"
"173","PL005227672450","PL005227672450",1,17,"2016--22","2016--06",119,465.606849698411,33.508917,"FR2253772132","PL005256749093"
"174","PL005227672450","PL005227672450",1,19,"2016--25","2016--06",135,502.743808868081,33.316476,"FR2253772132","PL005256749093"
"175","PL005227672450","PL005227672450",1,18,"2016--23","2016--06",128,388.920296662925,33.057216,"FR2253772132","PL005256749093"
"176","PL005227672450","PL005227672450",1,19,"2016--25","2016--06",136,453.24942702593,34.15108,"FR2253772132","PL005256749093"
"177","PL005227672450","PL005227672450",1,22,"2016--28","2016--07",159,486.187588671185,30.198866,"FR2253772132","PL005256749093"
"178","PL005227672450","PL005227672450",1,16,"2016--22","2016--06",118,388.448506986932,32.076912,"FR2253772132","PL005256749093"
"179","PL005227672450","PL005227672450",1,18,"2016--24","2016--06",128,347.510434881899,33.057216,"FR2253772132","PL005256749093"
"180","PL005227672450","PL005227672450",1,19,"2016--25","2016--06",137,448.957306837034,34.722,"FR2253772132","PL005256749093"
"181","PL005227672450","PL005227672450",1,22,"2016--28","2016--07",158,387.899242892722,31.788978,"FR2253772132","PL005256749093"
"182","PL005227672450","PL005227672450",1,17,"2016--23","2016--06",123,479.591962848826,33.098208,"FR2253772132","PL005256749093"
"183","PL005227672450","PL005227672450",1,18,"2016--24","2016--06",129,391.362179562337,32.509376,"FR2253772132","PL005256749093"
"184","PL005227672450","PL005227672450",1,22,"2016--27","2016--07",155,374.49844635397,34.04065,"FR2253772132","PL005256749093"
"185","PL005227672450","PL005227672450",1,20,"2016--25","2016--06",140,445.464465036873,32.661475,"FR2253772132","PL005256749093"
"186","PL005227672450","PL005227672450",1,21,"2016--27","2016--07",149,441.018157432307,32.241612,"FR2253772132","PL005256749093"
"187","PL005227672450","PL005227672450",1,23,"2016--29","2016--07",163,374.032425143026,31.25139,"FR2253772132","PL005256749093"
"188","PL005227672450","PL005227672450",1,22,"2016--27","2016--07",154,449.523715881209,32.945082,"FR2253772132","PL005256749093"
"189","PL005227672528","PL005227672528",1,22,"2016--34","2016--08",160,276.4979914372,27.442863,"US138929709","PL005306321200"
"190","PL005227672528","PL005227672528",1,20,"2016--32","2016--08",144,334.713242570577,29.41624,"US138929709","PL005306321200"
"191","PL005227672528","PL005227672528",1,18,"2016--30","2016--07",132,292.247697245528,28.372344,"US138929709","PL005306321200"
"192","PL005227672528","PL005227672528",1,18,"2016--29","2016--07",128,427.162785395013,29.73256,"US138929709","PL005306321200"
"193","PL005227672528","PL005227672528",1,16,"2016--28","2016--07",116,381.059331937325,31.820532,"US138929709","PL005306321200"
"194","PL005227672528","PL005227672528",1,20,"2016--31","2016--08",143,327.767171275373,30.86526,"US138929709","PL005306321200"
"195","PL005227672528","PL005227672528",1,15,"2016--26","2016--07",106,421.11244041317,28.758102,"US138929709","PL005306321200"
"196","PL005227672528","PL005227672528",1,22,"2016--33","2016--08",155,354.538719640336,29.454378,"US138929709","PL005306321200"
"197","PL005227672528","PL005227672528",1,17,"2016--28","2016--07",119,427.96715247794,32.065536,"US138929709","PL005306321200"
"198","PL005227672528","PL005227672528",1,18,"2016--29","2016--07",127,366.935370379609,31.102558,"US138929709","PL005306321200"
"199","PL005227672528","PL005227672528",1,14,"2016--25","2016--06",98,431.225618214337,28.325024,"US138929709","PL005306321200"
"200","PL005227672528","PL005227672528",1,13,"2016--25","2016--06",97,352.263657969531,30.532561,"US138929709","PL005306321200"
"201","PL005227672528","PL005227672528",1,21,"2016--33","2016--08",151,349.58336343088,30.271612,"US138929709","PL005306321200"
"202","PL005227672528","PL005227672528",1,17,"2016--29","2016--07",123,408.13304024649,32.647992,"US138929709","PL005306321200"
"203","PL005227672528","PL005227672528",1,19,"2016--31","2016--08",139,428.44071938324,31.30806,"US138929709","PL005306321200"
"204","PL005227672528","PL005227672528",1,16,"2016--27","2016--07",112,370.843142065841,32.045888,"US138929709","PL005306321200"
"205","PL005227672528","PL005227672528",1,21,"2016--32","2016--08",147,354.647221760856,28.714943,"US138929709","PL005306321200"
"206","PL005227672528","PL005227672528",1,14,"2016--25","2016--06",101,427.410300686151,31.01932,"US138929709","PL005306321200"
"207","PL005227672528","PL005227672528",1,15,"2016--26","2016--06",105,367.603002566187,29.101296,"US138929709","PL005306321200"
"208","PL005227672528","PL005227672528",1,17,"2016--29","2016--07",124,320.810535613531,32.0535,"US138929709","PL005306321200"
"209","PL005227672528","PL005227672528",1,11,"2016--22","2016--06",77,408.786023969901,33.111272,"US138929709","PL005306321200"
"210","PL005227672528","PL005227672528",1,14,"2016--26","2016--06",102,414.041345599553,31.424003,"US138929709","PL005306321200"
"211","PL005227672528","PL005227672528",1,23,"2016--34","2016--08",163,310.064666393643,26.183994,"US138929709","PL005306321200"
"212","PL005227672528","PL005227672528",1,16,"2016--27","2016--07",115,337.62301819523,32.607106,"US138929709","PL005306321200"
"213","PL005227672528","PL005227672528",1,22,"2016--34","2016--08",159,372.844194776734,27.940805,"US138929709","PL005306321200"
