"","animal","ID","lac12","lac_wk.","yearwk","yearmo","DIM","ch4clean","dfpcm"
"684","PL005349224490","PL005349224490",1,8,"2016--08","2016--02",59,517.962980423897,36.323619
"685","PL005368235040","PL005368235040",1,8,"2016--08","2016--02",59,520.193455167029,36.911896
"688","PL005251904671","PL005251904671",1,8,"2016--09","2016--02",59,444.487823321691,33.827904
"692","PL005368235101","PL005368235101",1,8,"2016--10","2016--03",59,344.780826386908,18.729444
"696","PL005368235040","PL005368235040",1,8,"2016--08","2016--02",60,496.958056447621,34.901529
"700","PL005251904633","PL005251904633",1,8,"2016--09","2016--03",60,492.529205454005,40.48533
"701","PL005251904671","PL005251904671",1,8,"2016--09","2016--03",60,456.916456036602,34.86399
"707","PL005349224490","PL005349224490",1,8,"2016--08","2016--02",61,545.031351135527,42.690396
"708","PL005349224667","PL005349224667",1,8,"2016--08","2016--02",61,480.770040373082,33.588117
"709","PL005368235040","PL005368235040",1,8,"2016--08","2016--02",61,491.876254302977,35.906312
"717","PL005251904633","PL005251904633",1,8,"2016--10","2016--03",61,530.30937286781,38.885532
"718","PL005368235101","PL005368235101",1,8,"2016--10","2016--03",61,349.839409818918,17.87482
"721","PL005349224490","PL005349224490",1,8,"2016--08","2016--02",62,569.848470316107,42.085573
"722","PL005349224667","PL005349224667",1,8,"2016--08","2016--02",62,437.928698767138,32.777576
"727","PL005251904671","PL005251904671",1,8,"2016--09","2016--03",62,497.930538654235,36.295675
"730","PL005251904633","PL005251904633",1,8,"2016--10","2016--03",62,599.739282506928,41.280192
"734","PL005349224667","PL005349224667",1,9,"2016--08","2016--02",63,531.632590000906,32.140856
"735","PL005368235040","PL005368235040",1,9,"2016--08","2016--02",63,520.096712165861,36.973146
"740","PL005349224490","PL005349224490",1,9,"2016--09","2016--02",63,428.304934460774,39.43145
"741","PL005251904671","PL005251904671",1,9,"2016--09","2016--03",63,496.494793105536,35.877005
"743","PL005251904633","PL005251904633",1,9,"2016--10","2016--03",63,526.871730614171,39.79435
"744","PL005368235101","PL005368235101",1,9,"2016--10","2016--03",63,418.012487421097,23.691005
"746","PL005349224353","PL005349224353",1,9,"2016--06","2016--02",64,533.708409417036,42.270212
"749","PL005349224667","PL005349224667",1,9,"2016--08","2016--02",64,419.487098275066,32.042361
"750","PL005368235040","PL005368235040",1,9,"2016--08","2016--02",64,470.041891026203,35.378592
