nummer,naam stier,gebjr,run nummer,basis,kicode,owner,base,rel NVI,NVI,source production,rel Inet,dochters productie,milk,fat,protein,lactose,rel milk,rel fat,rel prot,rel lact,source dmi,daughters dmi,rel dmi direct,rel dmi incl voorspellers,rel bvo,rel bvk,dmi direct,dmi incl voorspellers,FSM,FSCM,bvo obv selectieindex,rel bvo new,diff bvo
HOLNLDM000582559945,DELTA CUPIDO,2012,241,1,940871,CO60,2024HC,97,-57,E,99,5172,-441,-56,-26,-14,99,99,99,99,E,9,71,82,68,68,-59,-138,-18,-17,8,68,-26
HOLCANM000014075034,PROGENESIS RUBBLE,2021,241,1,784712,IM75,2024HC,68,223,G,74,0,437,61,34,19,81,80,74,74,G,0,47,72,50,50,-23,71,109,106,58,50,51
HOLNLDM000843890655,DELTA LENDOR,2016,241,1,941901,CO60,2024HC,98,169,E,99,13976,188,39,26,3,99,99,99,99,E,77,81,87,76,76,-21,8,103,100,73,76,30
HOLDEUM000542208460,THI FARRELL,2022,241,1,784823,IM74,2024HC,67,181,G,73,0,413,52,27,12,81,79,73,74,G,0,47,72,50,50,88,202,-55,-53,-52,50,-3
HOLNLDM000433752565,TOPSTEEN MANITOBA,2006,241,1,977793,CO60,2024HC,90,-253,E,96,151,-862,-25,-12,-42,97,97,96,97,E,0,51,76,60,60,-8,-76,-25,-24,-13,60,-12
HOLFRAM006771265599,WILT ELDO,2018,241,1,782155,IM90,2024HC,74,29,G,80,0,-659,30,-11,-28,86,84,80,79,G,0,49,74,53,53,53,112,-85,-82,-70,53,-15
HOLUSAM003245816146,GENOSOURCE FUG TITUS P,2022,241,1,942845,CO60,2024HC,67,249,G,73,0,1223,97,62,60,80,79,73,73,G,0,47,72,50,50,130,235,85,82,35,50,50
HOLNLDM000543203919,DELTA SOLERO,2010,241,1,940372,CO60,2024HC,97,105,E,99,7227,-37,14,13,-3,99,99,99,99,E,15,68,81,67,67,-61,-63,103,100,73,67,30
HOLFRAM004241809536,HAB P,2012,241,1,768254,IM53,2024HC,81,-134,J,83,0,-475,-57,-27,-23,88,87,83,87,J,0,49,74,54,54,0,-95,-72,-70,-32,54,-40
HOLNLDM000543470830,VISSTEIN SNOW PEAK,2011,241,1,768859,IM74,2024HC,84,-50,E,90,32,887,11,4,33,92,92,90,92,E,0,53,76,58,58,24,-10,66,64,49,58,17
